"","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc"
"21634",1610656,0,5,"Female","White",2017,"Computer Science","","","","","","","Fall River","MA","Fall River, MA"
"21636",1618468,0,9,"Female","White",2017,"Computer Science","","","","","","","Needham","MA","Needham, MA"
"21658",1639899,0,4,"Female","White",2017,"Computer Science","","","","","","","Revere","MA","Revere, MA"
"21716",1204071,0,12,"Female","White",2018,"Computer Science","","","","","","","Cambridge","MA","Cambridge, MA"
"21790",1597700,0,4,"Female","Asian",2018,"Computer Science","Health Informatics","","","","","","Quincy","MA","Quincy, MA"
"21810",1617655,0,4,"Female","White",2018,"Computer Science","","","","","","","Boston","MA","Boston, MA"
"21903",1639769,0,4,"Female","White",2018,"Computer Science","","","","","","","Keene","NH","Keene, NH"
"21908",1640104,0,5,"Female","Asian",2018,"Computer Science","","Biostatistics","","","","","Brighton","MA","Brighton, MA"
"21961",1647912,0,4,"Female","Asian",2018,"Computer Science","Web Design and Development","","","","","","Brighton","MA","Brighton, MA"
"21970",1651460,0,5,"Female","White",2018,"Computer Science","Mathematics","","","","","","Quincy","MA","Quincy, MA"
"21993",1690015,0,4,"Female","White",2018,"Computer Science","","English","","","","","Wilbraham","MA","Wilbraham, MA"
